config,area,totalpower,cell_count
run_s_app2_da_16_LSB,3113.805411,1.8379,1119
run_s_app3_da_8_MFA,1212.201867,0.5529,468
run_s_app3_da_8_LS,1219.710666,0.5453,470
run_s_app2_da_16_LFA,3567.149197,2.2172,1245
run_s_app4_da_8_LS,1209.386067,0.5659,470
run_s_app4_da_16_LFA,3585.921196,2.1959,1253
run_s_app3_da_8_LFA,1279.781065,0.6654,486
run_s_app4_da_16_LS,3425.420601,2.1046,1215
run_s_app2_da_16_LS,3362.065103,2.0038,1188
run_s_app2_da_8_LFA,1269.925765,0.6648,483
run_s_app2_da_8_LS,1183.574568,0.5427,459
run_s_app2_da_8_MFA,1172.780668,0.5433,456
run_s_app3_da_16_LS,3450.762800,2.0604,1215
run_s_app4_da_16_MFA,3222.683007,1.6844,1167
run_s_app2_da_8_LSB,1205.162367,0.6099,465
run_s_app2_da_16_MFA,3103.011511,1.7738,1116
run_s_app3_da_16_LFA,3593.429996,2.2396,1253
run_s_dadda_16,3653.500394,2.3028,1269
run_s_app4_da_8_LFA,1276.965265,0.6568,486
run_s_app4_da_8_LSB,1226.280867,0.6154,474
run_s_app4_da_16_LSB,3231.130407,1.8904,1169
run_s_dadda_8,1302.307464,0.7005,492
run_s_app3_da_16_LSB,3278.060404,1.9171,1169
run_s_app3_da_8_LSB,1234.728266,0.6127,474
run_s_app4_da_8_MFA,1200.938667,0.5171,468
run_s_app3_da_16_MFA,3270.551605,1.8274,1167
